ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
1788,Waterloo 1815 Prussian Hussars of Frederick the Great (052),German,Prussian,,,,,,,,,
1793,Strelets The Last Assault on Sevastopol (906),French,,,,,,,,,,
1794,Strelets Roman Extra Heavy Infantry (M042),Italian,Roman,,,,,,,,,
1795,Strelets Norman Army Before Battle (M043),French,Norman,,,,,,,,,
1796,Strelets Red Army in Winter Dress (M044),Russian,Soviet,,,,,,,,,
1797,Strelets Red Army in Summer Dress (M045),Russian,Soviet,,,,,,,,,
1798,Strelets Russian Army in Winter Dress (M046),Russian,,,,,,,,,,
1799,Strelets Russian Army in Summer Dress (M047),Russian,,,,,,,,,,
1800,Strelets Medieval Russian Militia (M048),Russian,,,,,,,,,,
1801,Strelets Praetorian Cohort (M049),Italian,Roman,,,,,,,,,
1802,Strelets Anglo-Saxons Before Battle (M050),Anglo-Saxon,English,,,,,,,,,
1803,Ykreol French Line Infantry 1815 (YK01),French,,,,,,,,,,
1805,Ykreol Portuguese Infantry of the Empire (YK03),Portuguese,,,,,,,,,,
1807,Caesar WWII German Paratroopers (H068),German,,,,,,,,,,
1808,HaT French Light Infantry Chasseurs (Action) (8251),French,,,,,,,,,,
1809,HaT French Light Infantry Chasseurs (Command) (8252),French,,,,,,,,,,
1810,HaT Taaishi Camelry (8250),Sudanese,,,,,,,,,,
1811,HaT WWI Italian Artillery Crew (8259),Italian,,,,,,,,,,
1812,Italeri German Infantry (Winter Uniform) (6151),German,,,,,,,,,,
1813,HaT Napoleonic Spanish Grenadiers (8301),Spanish,,,,,,,,,,
1814,HaT Prussian Landwehr Marching (8309),German,Prussian,,,,,,,,,
1815,First To Fight Polish Uhlans Dismounted (PL1939-066),Polish,,,,,,,,,,
1816,Orion Rus Foot Knights (Druzhina) (72031),Russian,,,,,,,,,,
1817,Orion Kievan Rus Infantry (72032),Russian,Ukrainian,,,,,,,,,
1819,Mars Imperial Army (72032),Austrian,Habsburg Imperial,,,,,,,,,
1820,Zvezda Scythian Cavalry (8069),Kazak,Russian,Scythian,,,,,,,,
1821,Mars Saxon Infantry (72035),German,Saxon,,,,,,,,,
1822,Strelets Dacian Heavy Infantry (M021(2)),Dacian,Romanian,,,,,,,,,
1823,Strelets Dacian Light Infantry (M022(2)),Dacian,Romanian,,,,,,,,,
1824,Strelets WWII New Zealand Troops (M111),New Zealand,,,,,,,,,,
1825,Strelets WWII US Navy with Anti-Aircraft Machine-Gun (M112),USA,,,,,,,,,,
1826,Airfix WWII British Infantry (01763),British,,,,,,,,,,
1827,Caesar WWII German Army with Field Greatcoat (H069),German,,,,,,,,,,
1828,Mars Scots Mercenaries (72034),British,Scottish,,,,,,,,,
1829,HaT El Cid Andalusian Heavy Cavalry (8215),Andalusian,Spanish,,,,,,,,,
1830,HaT El Cid Almoravid Light Cavalry (8246),Almoravid,Moroccan,,,,,,,,,
1831,HaT El Cid Almoravid Heavy Cavalry (8247),Almoravid,Spanish,,,,,,,,,
1832,HaT El Cid Spanish Command (8248),Spanish,,,,,,,,,,
1833,HaT El Cid Moorish Command (8249),Andalusian,Spanish,,,,,,,,,
1834,HaT WW2 German Tank Riders (8262),German,,,,,,,,,,
1835,HaT WW2 Russian Tank Riders (8263),Russian,Soviet,,,,,,,,,
1836,HaT WW2 British Tank Riders (8264),British,,,,,,,,,,
1837,HaT WW2 American Tank Riders (8265),USA,,,,,,,,,,
1838,HaT WWI German Field Wagon (8260),German,,,,,,,,,,
1841,HaT Napoleonic British Light Dragoons (8307),British,,,,,,,,,,
1842,Strelets French Army Sledge Train 1 (133),French,,,,,,,,,,
1843,Strelets Roman Transport 3 (131),Italian,Roman,,,,,,,,,
1844,Plastic Soldier British 6-pdr Anti-Tank Gun and Loyd Carrier Tow (WW2G20004),British,,,,,,,,,,
1845,Waterloo 1815 US 7th Cavalry (050),USA,,,,,,,,,,
1846,Waterloo 1815 Apache Warriors (051),USA,,,,,,,,,,
1847,Strelets Roman Transport 4 (132),Italian,Roman,,,,,,,,,
1848,Zvezda Spartans (8068),Greek,,,,,,,,,,
1850,Zvezda Dragoons of Peter I (8072),Russian,,,,,,,,,,
1851,Zvezda Mongols - Golden Horde (8076),Mongolian,,,,,,,,,,
1852,Zvezda Black Hussars of Frederick the Great (8079),German,Prussian,,,,,,,,,
1853,Zvezda Russian Infantry of World War I (8082),Russian,,,,,,,,,,
1854,Zvezda German Infantry of World War I (8083),German,,,,,,,,,,
1855,Plastic Soldier Russian Infantry in Summer Uniform (WW2020001),Russian,Soviet,,,,,,,,,
1856,Plastic Soldier Late War German Infantry 1943-45 (WW2020003),German,,,,,,,,,,
1857,Plastic Soldier Late War British Infantry 1944-45 (WW2020002),British,,,,,,,,,,
1858,Plastic Soldier Russian Infantry Heavy Weapons (WW2020004),Russian,Soviet,,,,,,,,,
1859,Plastic Soldier Late War German Infantry Heavy Weapons (WW2020005),German,,,,,,,,,,
1860,"RedBox European Light Cavalry, 16th Century Set 1 (72084)",French,German,Italian,,,,,,,,
1861,RedBox Policemen and Citizens (72037),USA,,,,,,,,,,
1862,Strelets Praetorians' Ceremonial March (M109),Italian,Roman,,,,,,,,,
1867,Ykreol Spanish Infantry 1808 (YK10),Spanish,,,,,,,,,,
1868,HaT WWI British QF 4.5 Inch Howitzer (8243),British,,,,,,,,,,
1869,HaT 10cm Feldhaubitze M.14 (8245),Austrian,Habsburg Imperial,Hungarian,,,,,,,,
1870,HaT Prussian Infantry Marching (8253),German,Prussian,,,,,,,,,
1871,HaT Prussian Infantry Action (8254),German,Prussian,,,,,,,,,
1872,HaT Prussian Infantry Command (8255),German,Prussian,,,,,,,,,
1873,HaT WWI British Artillery Crew (8256),British,,,,,,,,,,
1874,HaT WWI Russian Artillery Crew (8257),Russian,,,,,,,,,,
1875,HaT WWI Austrian Artillery Crew (8258),Austrian,,,,,,,,,,
1876,Strelets Russian Dragoons (107),Russian,,,,,,,,,,
1877,Strelets Russian Hussars (108),Russian,,,,,,,,,,
1878,Strelets Bashi-Bazouks (109),Ottoman,Turkish,,,,,,,,,
1879,Strelets Turkish Regular Cavalry (110),Ottoman,Turkish,,,,,,,,,
1880,Strelets Turkish Artillery (111),Ottoman,Turkish,,,,,,,,,
1881,Strelets Russian Field Artillery (Summer Uniform) (112),Russian,,,,,,,,,,
1882,Strelets Turkish Army (M052),Turkish,,,,,,,,,,
1883,Strelets Sardinians (M053),Italian,,,,,,,,,,
1884,Strelets British Cavalry (Late War) (114),British,,,,,,,,,,
1886,Caesar WWII German Afrika Korps (H070),German,,,,,,,,,,
1887,Caesar WWII US Infantry Set 2 (H071),USA,,,,,,,,,,
1888,Caesar WWII Italian Infantry (H072),Italian,,,,,,,,,,
1889,Caesar WWII British Commandos (H073),British,,,,,,,,,,
1890,Orion Cumans (Polovets) and Pechenegs (72034),Cuman,Pecheneg,Russian,Ukrainian,,,,,,,
1891,Orion Iberian Infantry (72035),CeltIberian,Portuguese,Spanish,,,,,,,,
1892,Orion Rus Mounted Knights (72033),Russian,,,,,,,,,,
1893,Orion Soviet Tankmen and Crew (Summer Dress) (72036),Russian,Soviet,,,,,,,,,
1894,Metch Lord Lovat's Commandos (172144),British,,,,,,,,,,
1895,GerMan Armed Civilians and Porch (1002),Spanish,,,,,,,,,,
1896,Mars Swedish Heavy Cavalry (72036),Swedish,,,,,,,,,,
1897,Mars Imperial Mounted Arquebusiers (72037),Austrian,Habsburg Imperial,,,,,,,,,
1898,Mars Imperial Siege Artillery (72038),German,Habsburg Imperial,,,,,,,,,
1899,Mars French Infantry and Guard (72039),French,,,,,,,,,,
1900,BUM Schneider Gun (5035),Spanish,,,,,,,,,,
1901,LW French Musketeers (2027),French,,,,,,,,,,
1904,HaT WWI Belgian Carabinier Bicyclists (8275),Belgian,,,,,,,,,,
1905,HaT Sassanid Light Infantry (8267),Iranian,Iraqi,Sassanian,,,,,,,,
1906,HaT WW2 Japanese Bicycle Infantry (8278),Japanese,,,,,,,,,,
1907,Strelets Russian Mountain Artillery (Winter Uniform) (113),Russian,,,,,,,,,,
1908,Strelets German Stormtroops (M055),German,,,,,,,,,,
1909,Strelets British Infantry in Gasmasks (M056),British,,,,,,,,,,
1910,Strelets French Infantry in Gas Masks (M057),French,,,,,,,,,,
1911,Strelets Russian Infantry in Gas Masks (M058),Russian,,,,,,,,,,
1912,Strelets Austro-Hungarian Infantry in Gas Masks (M059),Austrian,Habsburg Imperial,Hungarian,,,,,,,,
1913,Strelets German Infantry in Gas Masks (M060),German,,,,,,,,,,
1916,Waterloo 1815 Italian Cavalry (001),Italian,,,,,,,,,,
1917,"Strelets Turkish Infantry, Winter Uniform (M066)",Ottoman,Turkish,,,,,,,,,
1918,Orion Soviet Quad Maxim AA MG and Crew (72037),Russian,Soviet,,,,,,,,,
1919,Orion Soviet DShK AA MG and Crew (72038),Russian,Soviet,,,,,,,,,
1920,Orion Hussite War Wagon and Command (72039),Bohemian,Czech,,,,,,,,,
1921,RedBox Hussite Artillery (72038),Czech,Hussite,,,,,,,,,
1922,RedBox Hussite Infantry (72039),Czech,Hussite,,,,,,,,,
1923,Strelets British Siege Artillery (062),British,,,,,,,,,,
1924,Strelets French Field Artillery (065),French,,,,,,,,,,
1926,Strelets Roman Transport (2) (117),Italian,Roman,,,,,,,,,
1927,Strelets Romanian Infantry (M061),Romanian,,,,,,,,,,
1928,Strelets Finnish Army 1939-42 (M062),Finnish,,,,,,,,,,
1929,"Ykreol Division ""Handschar"" - Yugoslavia 1943 (YK12)",Bosnian,,,,,,,,,,
1930,Zvezda German Infantry 1939-42 (6105),German,,,,,,,,,,
1931,Zvezda German Machinegun MG-34 with Crew (6106),German,,,,,,,,,,
1932,Zvezda Soviet Infantry 1941-43 (6103),Russian,Soviet,,,,,,,,,
1933,Zvezda Soviet Maxim Machinegun With Crew (6104),Russian,Soviet,,,,,,,,,
1934,"Metch Arnhem, Too Far (172145)",British,,,,,,,,,,
1935,Strelets British Regiment of Horse (Late War) (255),British,,,,,,,,,,
1936,HaT Putilov 76mm M1902 Gun (8173),Russian,,,,,,,,,,
1937,HaT WWI British Cavalry (8272),British,,,,,,,,,,
1938,HaT WWI French Cavalry (8273),French,,,,,,,,,,
1939,HaT WWI Turkish Cavalry (8274),Ottoman,Turkish,,,,,,,,,
1940,Waterloo 1815 American 75mm Mountain Gun (038),USA,,,,,,,,,,
1941,Preiser Modern US Army Seated Drivers & Soldiers (16564),USA,,,,,,,,,,
1943,Preiser Soviet Marine Light Infantry (16569),Russian,Soviet,,,,,,,,,
1944,Preiser German Field Wagon (16570),German,,,,,,,,,,
1945,Preiser German Zundapp Motorcycles and Riders At Attention (16571),German,,,,,,,,,,
1946,First To Fight German Command (PL1939-018),German,,,,,,,,,,
1947,Preiser German Riflemen Lined Up (16573),German,,,,,,,,,,
1948,Preiser German Zundapp Motorcycles with Riders (16575),German,,,,,,,,,,
1949,Preiser German Small Arms Ammunition Carts (16576),German,,,,,,,,,,
1950,Preiser Russian Prisoners of War (16577),Russian,Soviet,,,,,,,,,
1951,Preiser German Prisoners of War (16578),German,Russian,Soviet,,,,,,,,
1952,Preiser Zundapp Motorcycles with Crews Pushing (16580),German,,,,,,,,,,
1953,Preiser German Riflemen with Mortar & Horse Lined Up (16585),German,,,,,,,,,,
1954,Preiser German Horse Drawn Field Wagon Erfa (16588),German,,,,,,,,,,
1955,Toxso Modern US Soldiers (1404),USA,,,,,,,,,,
1956,Preiser PaK L/45 with Crew (16591),German,,,,,,,,,,
1957,Preiser Riflemen in Winter Uniform with Carts (16592),German,,,,,,,,,,
1958,Preiser East German Guard Battalion (16593),East German,German,,,,,,,,,
1959,Preiser Field Kitchen (16594),German,,,,,,,,,,
1960,Preiser Bicycle Unit Cycling and Walking (16596),German,,,,,,,,,,
1961,Preiser German Standing Draught Horses (16597),German,,,,,,,,,,
1962,Toxso M102 105mm Howitzer (1402),USA,,,,,,,,,,
1963,Preiser Soviet Attacking Infantrymen in Winter Uniform (16600),Russian,Soviet,,,,,,,,,
1964,Preiser East German Frontier Guards (16601),East German,German,,,,,,,,,
1965,Toxso 10.5 cm s.K.18 (1407),German,,,,,,,,,,
1966,Preiser German Infantry Attacking in Winter Uniform (16604),German,,,,,,,,,,
1967,Preiser Soviet & German Infantry Close Combat Winter (16605),German,Russian,Soviet,,,,,,,,
1969,RedBox Swiss Artillery (72065),Swiss,,,,,,,,,,
1970,RedBox Russian Artillery (72071),Muscovite,Russian,,,,,,,,,
1971,RedBox Russian Artillery (72072),Russian,,,,,,,,,,
1975,Caesar Panzergrenadiers (Kharkov 1943) (HB01),German,,,,,,,,,,
1976,Caesar WWII Panzergrenadiers (Ardennes 1944) (HB02),German,,,,,,,,,,
1977,Caesar WWII German Panzer Crews (HB03),German,,,,,,,,,,
1979,Preiser German Military Motorists (18366),German,,,,,,,,,,
1980,Zvezda Soviet Engineers 1941-42 (6108),Russian,Soviet,,,,,,,,,
1981,Zvezda German Sturmpioniere 1939-42 (6110),German,,,,,,,,,,
1982,Zvezda Soviet Anti-Tank Team (6135),Russian,Soviet,,,,,,,,,
1983,Zvezda German Paratroops (6136),German,,,,,,,,,,
1984,Zvezda Soviet Reconnaissance Team (6137),Russian,Soviet,,,,,,,,,
1985,Zvezda Soviet Paratroopers (6138),Russian,Soviet,,,,,,,,,
1986,Zvezda Soviet Naval Infantry (6146),Russian,Soviet,,,,,,,,,
1987,Zvezda German Reconnaissance Team (6153),German,,,,,,,,,,
1988,Zvezda German Gebirgsjäger (6154),German,,,,,,,,,,
1989,Zvezda Soviet Cavalry (6161),Russian,Soviet,,,,,,,,,
1990,Zvezda Ashigaru-yari (6401),Japanese,,,,,,,,,,
1991,Zvezda Ashigaru with Arquebus (6402),Japanese,,,,,,,,,,
1992,Zvezda Samurai-Naginata (6403),Japanese,,,,,,,,,,
1993,Zvezda Samurai Archers (6404),Japanese,,,,,,,,,,
1994,Zvezda Samurai with Nodachi (6405),Japanese,,,,,,,,,,
1995,Zvezda Ninja (6406),Japanese,,,,,,,,,,
1996,Zvezda Mounted Samurai (6407),Japanese,,,,,,,,,,
1997,Strelets Ural Cossacks (064),Russian,,,,,,,,,,
1998,Strelets Roman Imperial Legion (Ceremonial March) (M101),Italian,Roman,,,,,,,,,
1999,Strelets Republican Roman Legion (Ceremonial March) (M102),Italian,Roman,,,,,,,,,
2000,Zvezda Samurai Commanders (6411),Japanese,,,,,,,,,,
2002,Zvezda French Napoleonic HQ Staff (8080),French,,,,,,,,,,
2003,Mars Imperial Light Infantry (72043),Austrian,Habsburg Imperial,,,,,,,,,
2004,Orion Soviet Artillery Crew (72041),Russian,Soviet,,,,,,,,,
2010,RedBox Mounted Men at Arms (72045),British,English,,,,,,,,,
2014,HaT WWI Highlanders (8235),British,Canadian,South African,,,,,,,,
2015,HaT WWI Indian Infantry (8236),Indian,,,,,,,,,,
2016,HaT Dervish Warriors (8271),Sudanese,,,,,,,,,,
2017,Valiant German IF8 Infantry Cart (VM005),German,,,,,,,,,,
2018,Mars Swedish Mercenary Dragoons (72040),Swedish,,,,,,,,,,
2019,Mars Imperial Heavy Cavalry (72041),Austrian,German,Habsburg Imperial,,,,,,,,
2020,Mars Teutonic Knights (72050),German,Teutonic,,,,,,,,,
2021,Mars Polish Knights (72051),Polish,,,,,,,,,,
2023,Strelets 6-Inch Mk VII Cannon with British Crew (A001),British,,,,,,,,,,
2024,Strelets 8 Inch Mk VII Howitzer (A002),USA,,,,,,,,,,
2025,Strelets 8 Inch Mk II Howitzer with Early British Crew (A003),British,,,,,,,,,,
2026,Strelets 6 Inch Mk XIX Cannon (A004),British,,,,,,,,,,
2027,Orion Modern Israeli Army (Set 2) (72040),Israeli,,,,,,,,,,
2028,RedBox Men-at-Arms and Retinue (72040),British,English,,,,,,,,,
2030,Caesar WWII German Cavalry Division (H092),German,,,,,,,,,,
2031,Caesar Modern US Soldiers in Action (Set 2) (H094),USA,,,,,,,,,,
2032,Caesar WWII German Command Staff with Kübelwagen (H095),German,,,,,,,,,,
2033,Caesar WWII German Sd.Kfz.2 Kettenkrad & Raketenwerfer 43 (H096),German,,,,,,,,,,
2034,Caesar Modern US Soldiers in Action (HB11),USA,,,,,,,,,,
2035,Strelets Polish Troops in Attack (144),Polish,,,,,,,,,,
2036,Strelets WWI French Field Kitchen (292),French,,,,,,,,,,
2037,Strelets Russian Hussars in Reserve (276),Russian,,,,,,,,,,
2038,Strelets British Infantry Firing Line (278),British,,,,,,,,,,
2039,Strelets British Dragoons (256),British,,,,,,,,,,
2041,Linear-A Neo-Assyrian Empire Infantry Set 1 (056),Assyrian,Syrian,,,,,,,,,
2045,Waterloo 1815 WWII German Cavalry (Set 1) (025),German,,,,,,,,,,
2046,Waterloo 1815 WWII US Mountain Troops (031),USA,,,,,,,,,,
2047,Waterloo 1815 Roger's Rangers (035),British,,,,,,,,,,
2048,Waterloo 1815 British Paratroopers with Pack Howitzer (036),British,,,,,,,,,,
2049,"Waterloo 1815 Italian Tank, Vehicle and Artillery Crews (037)",Italian,,,,,,,,,,
2052,BUM Roger's Rangers (2001),British,,,,,,,,,,
2053,BUM Whaleboat Rangers (2002),British,,,,,,,,,,
2054,BUM Rangers and Canoes (2003),British,USA,,,,,,,,,
2055,BUM Cabin Attack (2004),USA,,,,,,,,,,
2056,BUM Ambush! (2005),USA,,,,,,,,,,
2057,BUM Massacre! (2006),USA,,,,,,,,,,
2058,BUM Huron Hut (2007),USA,,,,,,,,,,
2059,BUM Huron's Camp (2011),USA,,,,,,,,,,
2060,Ultima Ratio WWII Soviet & Polish Infantry (UR003),Polish,Russian,Soviet,,,,,,,,
2062,BUM French Bombard (2025),Canadian,French,,,,,,,,,
2064,HaT WWII French Artillery Crew (8162),French,,,,,,,,,,
2080,BUM Nationalist Heavy Artillery (5046),Spanish,,,,,,,,,,
2084,Zvezda German Anti-Tank Gun PaK-36 with Crew (6114),German,,,,,,,,,,
2085,Linear-B Roman Transport (116),Roman,,,,,,,,,,
2086,Strelets Mamelukes (120),Egyptian,,,,,,,,,,
2087,HaT Napoleonic 1815 French Marching (8294),French,,,,,,,,,,
2088,HaT Seven Years War Austrian Sampler (8295),Austrian,,,,,,,,,,
2089,HaT Napoleonic Early-Mid French Marching (8296),French,,,,,,,,,,
2090,HaT Napoleonic French Command (8297),French,,,,,,,,,,
2091,HaT Huns (8298),Hun,,,,,,,,,,
2092,HaT 7YW Prussian Infantry Marching (8280),German,Prussian,,,,,,,,,
2093,HaT 7YW Prussian Infantry Action (8281),German,Prussian,,,,,,,,,
2094,HaT 7YW Prussian Infantry Command (8282),German,Prussian,,,,,,,,,
2095,HaT WW2 German Bicycle Infantry (8277),German,,,,,,,,,,
2096,HaT Colonial Ox Wagon (8286),South African,,,,,,,,,,
2097,HaT Colonial General Service Wagon (8287),British,,,,,,,,,,
2098,HaT Colonial British Dragoons (8288),British,,,,,,,,,,
2099,HaT Colonial Bengal Lancers (8289),Indian,,,,,,,,,,
2100,HaT WWI German Jäger Bicyclists (8276),German,,,,,,,,,,
2101,HaT WWI Belgian Heavy Weapons (8291),Belgian,,,,,,,,,,
2102,HaT British Infantry (Early) (8292),British,,,,,,,,,,
2103,HaT British Infantry (Tropical) (8293),British,,,,,,,,,,
2104,Strelets French Line Infantry in Egypt (M068),French,,,,,,,,,,
2105,Strelets French Light Infantry in Egypt (M069),French,,,,,,,,,,
2106,Strelets British Line Infantry in Egypt (M070),British,,,,,,,,,,
2107,Strelets British Light Infantry in Egypt (M071),British,,,,,,,,,,
2108,Strelets Regular Cavalry RKKA (125),Russian,Soviet,,,,,,,,,
2110,Strelets French Hussars in Egypt (118),French,,,,,,,,,,
2111,Strelets British Cavalry (Egypt) (119),British,,,,,,,,,,
2112,Mars Ukrainian Defenders (72138),Ukrainian,,,,,,,,,,
2113,Strelets 1745 British Artillery (284),British,,,,,,,,,,
2114,Strelets German States' Cuirassiers in Skirmish (268),German,,,,,,,,,,
2115,BUM Huron's River (2008),USA,,,,,,,,,,
2116,Zvezda Soviet 45-mm Anti-Tank Gun with Crew (6112),Russian,Soviet,,,,,,,,,
2117,Mars Spanish Tertio (72042),Spanish,,,,,,,,,,
2119,Metch Japanese Daihatsu Landing Craft (172172),Japanese,,,,,,,,,,
2120,Metch T-40 Fuel Truck (172138),Japanese,,,,,,,,,,
2121,Caesar British Army (H060),British,,,,,,,,,,
2122,Caesar WWII Late War German Army (H074),German,,,,,,,,,,
2123,Caesar WWII Italian Paratroopers (H075),Italian,,,,,,,,,,
2124,Caesar German Army with Camouflage Cape (HB04),German,,,,,,,,,,
2127,Strelets Moroccan Goumiers (M151),Moroccan,,,,,,,,,,
2128,Ultima Ratio WWII Soviet Mountain Troops (UR004),Russian,Soviet,,,,,,,,,
2129,BUM Western Fort Stable (2113),USA,,,,,,,,,,
2130,Waterloo 1815 French Line Voltigeurs at Waterloo (062),French,,,,,,,,,,
2131,Waterloo 1815 1815 French Line Infantry Fusiliers Marching (061),French,,,,,,,,,,
2132,Waterloo 1815 Prussian Officers & High Staff 1813-15 (058),German,Prussian,,,,,,,,,
2133,Mars Swedish Infantry (72094),Swedish,,,,,,,,,,
2137,Mars Polish Siege Bombard (72062),Polish,,,,,,,,,,
2138,Mars French Dismounted Dragoons (72078),French,,,,,,,,,,
2139,First To Fight Pak 36 German Antitank Gun (PL1939-022),German,,,,,,,,,,
2140,Strelets Early WWII American Soldiers 2 (M113),USA,,,,,,,,,,
2141,Strelets WWII Japanese Troops in Tropical Uniform (M114),Japanese,,,,,,,,,,
2142,RedBox Russian War Monks (72086),Russian,,,,,,,,,,
2143,RedBox Russian War Monk Artillery (72087),Russian,,,,,,,,,,
2144,RedBox Osman Eyalet Infantry 16-17th Century (72088),Ottoman,Turkish,,,,,,,,,
2145,RedBox Osman Yeniceri Infantry 16-17th Century (72089),Ottoman,Turkish,,,,,,,,,
2146,Caesar WWII German Infantry Marching (H081),German,,,,,,,,,,
2147,Caesar WWII German Infantry in Smocks - Winter (H083),German,,,,,,,,,,
2148,Caesar WWII German Artillery/Howitzer Crews (H084),German,,,,,,,,,,
2149,Caesar WWII German Panzer Unit in Combat (H085),German,,,,,,,,,,
2150,Caesar WWII German Anti-aircraft Crews (H089),German,,,,,,,,,,
2151,Ultima Ratio Soviet Motorized Infantry Spetsnaz (UR002),Russian,Soviet,,,,,,,,,
2152,"RedBox European Light Cavalry, 16th Century Set 2 (72085)",French,German,Italian,,,,,,,,
2154,First To Fight German 7.5 cm LE.IG Infantry Gun (PL1939-031),German,,,,,,,,,,
2155,Zvezda Soviet 37 mm Anti-aircraft Gun 61-K (6115),Russian,Soviet,,,,,,,,,
2156,Hasegawa 88mm Gun Flak 18 (31110),German,,,,,,,,,,
2158,Hasegawa U.S. Jeep Willys M.B. Cargo 37mm Gun (31101),USA,,,,,,,,,,
2159,Revell Soviet Spetsnaz (1980) (02533),Russian,Soviet,,,,,,,,,
2160,Linear-B Roman Market (072),Italian,Roman,,,,,,,,,
2161,Linear-B Spartacus Uprising (073),Italian,Roman,,,,,,,,,
2162,Italeri Japanese M92 Light Howitzer and AT Team (6164),Japanese,,,,,,,,,,
2163,Italeri Cannone da 149/40 with Crew (6165),Italian,,,,,,,,,,
2164,Revell WWII Japanese Infantry (02528),Japanese,,,,,,,,,,
2165,Revell WWII ANZAC Infantry (02529),Australian,New Zealand,,,,,,,,,
2166,Caesar US Paratroopers (H076),USA,,,,,,,,,,
2167,Mars Teutonic Foot Sergeants (72052),German,Teutonic,,,,,,,,,
2168,Mars Teutonic Mounted Sergeants (72053),German,,,,,,,,,,
2169,Mars Teutonic Mounted Crossbowmen (72054),German,Teutonic,,,,,,,,,
2170,HaT Napoleonic Prussian Infantry Sampler (8329),German,Prussian,,,,,,,,,
2171,Linear-A The Folk of Judea (001),Israeli,Palestinian,Roman,,,,,,,,
2172,HaT Napoleonic Mounted Officers (8279),German,Prussian,Russian,Spanish,,,,,,,
2173,Linear-B Roman Port (002),Italian,Roman,,,,,,,,,
2174,BUM St.Francis Settlement (2013),USA,,,,,,,,,,
2175,Linear-B Roman Tavern (003),Italian,Roman,,,,,,,,,
2176,Strelets Spartacus Army (M077),French,Gaul,German,Greek,Italian,,,,,,
2177,Strelets Roman Republican Legion on the March (M078),Italian,Roman,,,,,,,,,
2178,Strelets Roman Republican Legion in Battle (M079),Italian,Roman,,,,,,,,,
2179,Strelets Roman Republican Legion Before Battle (M080),Italian,Roman,,,,,,,,,
2180,Strelets Italian Army in Winter Dress (Stalingrad) (M082),Italian,,,,,,,,,,
2181,Strelets Hungarian Army in Winter Dress (Stalingrad) (M083),Hungarian,,,,,,,,,,
2184,Revell NATO Pilots (Modern) (02402),Belgian,British,French,German,Italian,USA,,,,,
2185,Zvezda British Infantry (6166),British,,,,,,,,,,
2186,Zvezda British Machine Gun Crew (6167),British,,,,,,,,,,
2187,Zvezda British 3 Inch Mortar with Crew (6168),British,,,,,,,,,,
2188,First To Fight German Infantry Support Weapons (PL1939-020),German,,,,,,,,,,
2189,Zvezda German Elite Troops (6180),German,,,,,,,,,,
2190,Zvezda German Medical Personnel (6143),German,,,,,,,,,,
2191,Zvezda German Regular Infantry (6178),German,,,,,,,,,,
2192,Zvezda Soviet Medical Personnel (6152),Russian,Soviet,,,,,,,,,
2193,Zvezda Soviet Militia (6181),Russian,Soviet,,,,,,,,,
2194,Zvezda Soviet Regular Infantry (6179),Russian,Soviet,,,,,,,,,
2195,Plastic Soldier Late War US Infantry (WW2020006),USA,,,,,,,,,,
2196,RedBox Town & County Levy (72041),British,English,,,,,,,,,
2208,Strelets Norman Train (128),French,Norman,,,,,,,,,
2209,Strelets Soviet Partisans in Winter Dress (M084),Russian,Soviet,,,,,,,,,
2210,Strelets Soviet Partisans in Summer Dress (M085),Russian,Soviet,,,,,,,,,
2211,Strelets Police Battalion (M086),Estonian,Latvian,Lithuanian,Polish,Ukrainian,,,,,,
2212,Valiant German Paratroops (VM006),German,,,,,,,,,,
2213,BUM French-Indian War Frontier Post (2012),USA,,,,,,,,,,
2214,Zvezda Ashigaru Archers (6414),Japanese,,,,,,,,,,
2215,Zvezda Peasants with Ammo Supply (6415),Japanese,,,,,,,,,,
2216,Zvezda Mounted Samurai Archers (6416),Japanese,,,,,,,,,,
2217,Strelets Japanese Imperial Airborne Troops (M104),Japanese,,,,,,,,,,
2218,Zvezda French Line Infantry (6802),French,,,,,,,,,,
2219,Strelets WWII Union of South Africa (M103),South African,,,,,,,,,,
2220,Strelets 8th Army Australian Infantry in Attack (M155),Australian,,,,,,,,,,
2221,Strelets Caesar Army on the March (M087),Italian,Roman,,,,,,,,,
2222,Strelets Caesar Army Before Battle (M088),Italian,Roman,,,,,,,,,
2223,Strelets Caesar Army in Battle I (M089),Italian,Roman,,,,,,,,,
2224,Strelets French Foreign Legion Heavy Weapons Squad (M152),French,,,,,,,,,,
2232,MM Swiss Vatican Guard (001),Italian,Swiss,,,,,,,,,
2236,Ultima Ratio Carthaginian Army: Iberian Infantry Part 1 (UR016),Carthaginian,CeltIberian,Spanish,,,,,,,,
2237,RedBox Byzantine Cataphracts Set 2 (72154),Byzantine,Turkish,,,,,,,,,
2240,First To Fight Bofors 37 mm wz. 36 Polish AT Gun (PL1939-025),Polish,,,,,,,,,,
2242,Caesar Chinese Qing Dynasty Troopers (H033),Chinese,,,,,,,,,,
2243,Caesar Chinese Ming Dynasty Troopers (H032),Chinese,,,,,,,,,,
2244,Caesar Pharaoh's Chariot with Biblical Peasant (H042),Egyptian,,,,,,,,,,
2245,Caesar Astronauts and Spacecraft (HB21),Chinese,,,,,,,,,,
