ID,Header,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_5,Nationality_6,Nationality_7,Nationality_8,Nationality_9,Nationality_10,Nationality_11
739,Strelets Russian Hussars (019),Russian,,,,,,,,,,
741,Esci German Anti-Tank Gun (8020),German,,,,,,,,,,
742,Preiser Modern US Infantry (72500),USA,,,,,,,,,,
743,HaT Imperial Roman Auxiliary Cavalry (8066),Italian,Roman,,,,,,,,,
744,HaT Imperial Roman Praetorian Cavalry (8067),Italian,Roman,,,,,,,,,
745,HaT Late Roman Cataphracts (8086),Italian,Roman,,,,,,,,,
746,Waterloo 1815 Dervish Infantry (011),Sudanese,,,,,,,,,,
747,HaT Gothic Cavalry (8085),Goth,Ukrainian,,,,,,,,,
748,LW Imperial Rome Legionary Artillery (7),Italian,Roman,,,,,,,,,
749,LW Medieval Russian Warriors (13),Russian,,,,,,,,,,
754,Esci 'Red Devils' British Paratroopers (8034),British,,,,,,,,,,
756,Hasegawa German Infantry Attack Group (31130),German,,,,,,,,,,
758,Revell French Horse Guard Artillery (02588),French,,,,,,,,,,
760,Hasegawa US Pilot/Ground Crew Set (35007),USA,,,,,,,,,,
763,Esci Red Guards (8017),Russian,Soviet,,,,,,,,,
764,Strelets Crimean Russian Hussars (034),Russian,,,,,,,,,,
765,Strelets Napoleon's General Staff (013),French,,,,,,,,,,
766,Strelets Scots Greys (030),British,,,,,,,,,,
767,HaT 1808-1812 French Line Infantry (8095),French,,,,,,,,,,
768,Armourfast WWII German BMW with Sidecar (99010),German,,,,,,,,,,
769,HaT Russian Militia (8099),Russian,,,,,,,,,,
771,Strelets Russian Naval Artillery (032),Russian,,,,,,,,,,
773,Linear-B Roman Port - 2 (075),Italian,Roman,,,,,,,,,
776,Armourfast WWII German Zundapp Motorcycle (99011),German,,,,,,,,,,
777,Preiser Horse Drawn Light Field Howitzer (16513),German,,,,,,,,,,
778,A Call To Arms British Infantry 1775 (65),British,,,,,,,,,,
780,Preiser Modern US Infantry (16529),USA,,,,,,,,,,
781,Strelets Zouaves (033),French,,,,,,,,,,
783,Preiser Soviet Infantry and Partisans 1942/43 (16530),Russian,Soviet,,,,,,,,,
784,BUM Republican Army (5001),Spanish,,,,,,,,,,
785,Esci US Soldiers (8016),USA,,,,,,,,,,
786,"Preiser German Paratroopers, Pilots and Ground Crew (16503)",German,,,,,,,,,,
787,"Preiser German Paratroopers, Pilots and Ground Crew (72516)",German,,,,,,,,,,
788,Preiser Home Leave (16542),German,,,,,,,,,,
789,Preiser Home Leave (72521),German,,,,,,,,,,
791,Esci Iwo-Jima Marines Landing (8062),USA,,,,,,,,,,
792,Revell WWII German Navy (02525),German,,,,,,,,,,
794,Waterloo 1815 Anglo-Egyptian Army (013),British,Egyptian,Sudanese,,,,,,,,
795,Zvezda French Knights (8036),French,,,,,,,,,,
796,Caesar Ch'in Dynasty Army (H004),Chinese,,,,,,,,,,
797,Caesar German Infantry with Winter Gear (H005),German,,,,,,,,,,
798,Caesar WWII Underground Resisters (Partisans) (H006),Belgian,Czech,Dutch,French,Italian,Polish,Yugoslavian,,,,
802,Preiser WWII German Infantry Advancing (16519),German,,,,,,,,,,
803,Odemars Wellington's Staff (PF14),British,,,,,,,,,,
804,Odemars Portuguese Infantry (CF02),Portuguese,,,,,,,,,,
805,IMEX Pilgrims (521),USA,,,,,,,,,,
806,IMEX Korean War US Army (529),USA,,,,,,,,,,
807,IMEX Chinese People's Liberation Army (531),Chinese,,,,,,,,,,
808,IMEX Republic of Korea Troops (530),South Korean,,,,,,,,,,
809,Dark Dream Studio Landsknechts (Pikemen) (72004),German,,,,,,,,,,
810,IMEX North Korean KPA (532),North Korean,,,,,,,,,,
811,Italeri Russian Infantry (6073),Russian,,,,,,,,,,
813,Strelets British Lancers (036),British,,,,,,,,,,
814,Strelets British Light Dragoons (040),British,,,,,,,,,,
815,Pegasus California Mission Indians (7051),Mexican,USA,,,,,,,,,
816,Strelets Guard of Peter I (031),Russian,,,,,,,,,,
817,HaT WWI German Artillery (8109),German,,,,,,,,,,
818,Italeri French Grenadiers (6072),French,,,,,,,,,,
819,Pegasus Waffen SS - Set 2 (7202),German,,,,,,,,,,
820,A Call To Arms Netherlands Infantry 1815 (66),Belgian,Dutch,,,,,,,,,
821,HaT Late Roman Heavy Infantry (8087),Italian,Roman,,,,,,,,,
822,Pegasus Germans in Berlin 1945 (7228),German,,,,,,,,,,
823,HaT Renault FT-17 with 37mm Cannon (8113),French,,,,,,,,,,
