ID,Header,Release_Year,Aggregate_Rating,Num_Figures
435,HaT WWI ANZAC Infantry (8071),2003,44,48
436,Heller WW2 British Parachutists (79623),1965,,33
437,HaT 1805 Russian Line Infantry (8072),2003,41,48
438,HaT 1805 Russian Light Infantry (8073),2003,42,48
439,Atlantic Davy Crockett (1005),1975,25,
440,Revell French Infantry (02505),1991,40,44
441,Nexus Panzer Grenadiers (ATL19),1975,,
442,Airfix Waterloo French Artillery (01737),1971,30,25
443,Revell German Artillery (02515),1995,49,15
444,Nexus Davy Crockett (ATL08),,,30
445,Italeri Russian Artillery (6053),,,
446,Italeri British and Scots Infantry (6058),,,
447,Italeri Italian Mountain Troops (6059),,,
448,Zvezda Samurai Army - Infantry (8017),2003,48,44
449,Italeri British Paratroopers (6034),1983,,50
450,Italeri Prussian Cuirassiers (6007),1996,43,17
451,HaT Prussian Uhlans (8005),1996,36,12
452,HaT Prussian Dragoons (8002),1996,33,12
453,Accurate Waterloo French Artillery (7213),1971,,25
454,Atlantic U.S. Camp (1007),1975,17,
455,Airfix US Paratroops (01751),1975,37,48
456,Heller US Paratroopers (79651),,,
457,Esci U.S. Paratroopers (209),1983,44,48
458,Revell U.S. Paratroopers (02517),1995,42,44
459,Esci French Foreign Legion (237),1987,44,50
460,Airfix Foreign Legion (01710),,39,44
461,Airfix Foreign Legion (1710),1961,27,44
462,HaT Foreign Legion (7012),,,44
463,Atlantic Indian Brigade (86),1977,24,
464,IMEX Chuck Wagon and Prairie Schooner (513),1997,,2
465,Zvezda Livonian Knights (8016),,42,33
466,Airfix WWII Luftwaffe Personnel (01755),1977,48,48
467,Revell German Crisis Reaction Forces (KRK) (02522),2002,44,50
468,Orion Polish Winged Hussars (72007),2003,50,12
469,HYTTY Macedonian Infantry (2002),,17,11
470,Airfix Civil War Artillery (01714),1962,18,15
471,Atlantic Italian Carabinieri Band (9005),1971,19,
472,Airfix Zoo Animals No. 2 (01725),1966,,
473,A Call To Arms Parliament Infantry (63),2003,40,32
474,Atlantic At The Pharaoh's Court (1501),1976,41,
475,HaT British Heavy Dragoons (8033),2000,41,12
476,Atlantic Medical Personnel (112),1975,37,
477,IMEX Munitions Wagon and Ambulance Wagon (514),1997,,4
482,Heller Luftwaffe Personnel (79655),,,
484,Airfix Farm Stock (01704),1960,,
490,IMEX American Pioneers (516),2003,49,34
491,Atlantic The Trojan Army (1511),1977,,
492,Strelets Russian and Prussian Chiefs of Staff (002),2003,44,44
493,Strelets French Foot Dragoons and Polish Grenadiers (009),2003,41,48
494,HaT Waterloo Dutch Infantry (8025),2000,39,48
495,Revell US Infantry (02520),1999,47,48
496,Italeri Celtic Cavalry (6029),2001,34,17
497,HaT Celtic Cavalry (8022),1999,38,12
498,Airfix WWI American Infantry (01729),1967,34,48
499,Revell Austrian Infantry (02574),1993,40,47
500,HaT WW1 U.S. Infantry (7004),,,
501,Esci Commonwealth Infantry (231),1986,46,50
502,Atlantic Greek Cavalry (1510),1977,22,
503,Nexus Greek Cavalry (ATL06),1977,,
504,Waterloo 1815 Greek Cavalry (P001),1977,,
505,HaT French Dragoons (8009),1998,31,12
506,Italeri French Dragoons (6015),1998,47,17
507,Airfix WWII Gurkhas (01754),1976,40,48
508,HaT WW2 Gurkhas (7017),1976,,48
509,Revell Indians (02555),1990,43,49
510,Esci Russian Grenadiers (236),1987,44,50
511,Waterloo 1815 Folgore Division Infantry (002),2003,42,44
512,Waterloo 1815 Folgore Division Light Artillery (004),2003,42,21
513,LW German Cavalry 1914 (53),2003,32,6
514,HaT Persian Heavy Cavalry (8050),2003,42,12
515,HaT Persian Light Cavalry (8077),2003,41,12
516,Zvezda Persian Chariot and Cavalry (8008),,45,8
517,Italeri Persian Cavalry with Chariot (6036),,,8
518,LW Medieval Knights (12),2003,,5
519,HaT Spanish Cavalry (8055),2003,44,12
520,Odemars German Commanders (PF05),2003,47,42
521,HaT Italian Ally Cavalry (8054),2003,41,12
522,Atlantic Heavy Artillery (107),1974,21,
523,Italeri French Foreign Legion (6054),1987,,50
524,Esci Modern U.S. Soldiers (239),1987,44,50
525,Atlantic Mao - Chinese Revolution (9010),1972,23,
526,Airfix German Mountain Troops (01752),1977,43,37
527,Revell British Foot Artillery (02577),1993,43,19
528,Atlantic Fliers (103),1973,32,
529,LW Ancient Artillery Part 2 (27),,16,1
530,Airfix Guards Band (01701),1960,34,44
531,Atlantic Ambulance (113),1975,14,
532,HaT British Rocket Troops (8003),2001,43,24
533,Atlantic Air Force (102),1971,11,
534,HaT Austrian Line Infantry (8027),2001,40,48
536,Esci Battlefield Accessories (216),,,
537,Atlantic Outlaws and Sheriffs (1014),1977,37,
538,Revell Praetorians (02552),1989,,50
539,Dark Dream Studio Pilots of the First World War (72003),2003,48,48
540,Italeri British Hussars (6052),,,
541,Italeri Union Infantry (6012),1995,45,50
542,Airfix WWI British Infantry (01727),1966,38,44
543,Airfix Waterloo British Cavalry (Hussars) (01743),1972,37,12
544,Accurate Waterloo British Cavalry (7210),1972,,12
545,HaT Imperial Roman Command (8075),2003,41,44
546,HaT Imperial Roman Auxiliaries (8074),2003,35,48
547,Italeri Battlefield Accessory Set (6030),,,
548,Zvezda Russian Foot Artillery (8022),2003,48,22
549,Italeri French Infantry (6043),2003,37,49
550,Zvezda Russian Heavy Infantry Grenadiers (8020),2003,48,46
551,HaT WW1 British Infantry (7002),,,
552,Italeri Austrian Grenadiers and Infantry (6005),1996,40,48
