manufacturer,nationality,Recency,Frequency,Magnitude
HaT,Kenyan,12,1,40.0
Mars,Sea People,12,1,32.0
Mars,Tunisian,12,1,37.0
Ultima Ratio,Afghan,12,1,44.0
Orion,Russian,11,19,42.1578947368421
Waterloo 1815,British,11,7,42.285714285714285
RedBox,Swiss,11,5,40.0
Mars,Spanish,11,4,34.5
RedBox,Irish,11,3,41.0
Ultima Ratio,Russian,11,3,40.666666666666664
Mars,Dutch,11,2,35.5
Panzer vs Tanks,Israeli,11,2,50.0
RedBox,Albanian,11,2,38.5
RedBox,Serbian,11,2,38.5
Linear-B,Pontic,11,1,39.0
Linear-B,Turkish,11,1,39.0
Mars,Crimean,11,1,36.0
Toxso,German,11,1,45.0
Ultima Ratio,Polish,11,1,41.0
RedBox,German,10,13,38.53846153846154
RedBox,Japanese,10,12,39.666666666666664
Mars,Polish,10,11,36.90909090909091
Strelets,Norman,10,10,43.1
Preiser,German,10,9,46.44444444444444
Strelets,Swedish,10,8,40.75
Strelets,Anglo-Saxon,10,4,41.75
HaT,Romanian,10,3,41.666666666666664
Panzer vs Tanks,German,10,3,50.0
RedBox,Dutch,10,3,38.333333333333336
Strelets,Danish,10,3,41.666666666666664
Strelets,Norwegian,10,3,41.666666666666664
Strelets,Viking,10,3,41.666666666666664
HaT,Polish,10,2,41.5
Strelets,Saxon,10,2,42.0
Linear-A,Israeli,10,1,43.0
Linear-A,Palestinian,10,1,43.0
Model Kasten,Japanese,10,1,50.0
Panzer vs Tanks,USA,10,1,50.0
Strelets,Pakistani,10,1,39.0
Mars,French,9,12,35.333333333333336
HaT,Persian,9,11,42.90909090909091
Mars,Austrian,9,11,33.54545454545455
HaT,Iraqi,9,9,42.111111111111114
RedBox,Spanish,9,9,41.888888888888886
Caesar,French,9,8,45.75
Mars,Swedish,9,8,32.375
Strelets,Polish,9,7,42.857142857142854
Mars,Turkish,9,6,32.5
Waterloo 1815,French,9,6,45.0
HaT,Sassanian,9,4,42.0
Strelets,Hungarian,9,3,41.0
Strelets,Indian,9,3,42.0
Ultima Ratio,Swiss,9,2,39.5
Mars,Burgundian,9,1,31.0
Strelets,Serbian,9,1,40.0
Ultima Ratio,British,9,1,42.0
HaT,French,8,41,41.146341463414636
Caesar,German,8,39,45.64102564102564
Strelets,Turkish,8,9,42.111111111111114
Caesar,USA,8,8,44.75
Strelets,Confederate,8,8,42.25
Valiant,German,8,7,44.42857142857143
Caesar,Syrian,8,6,45.666666666666664
HaT,Belgian,8,6,39.166666666666664
RedBox,Chinese,8,6,37.0
Waterloo 1815,German,8,6,42.833333333333336
First To Fight,German,8,5,38.8
Caesar,Iraqi,8,3,45.666666666666664
HaT,Zulu,8,3,39.0
RedBox,Burgundian,8,3,39.0
Hasegawa,Japanese,8,2,41.5
Mars,Japanese,8,2,33.5
Strelets,Greek,8,2,44.0
Strelets,New Zealand,8,2,40.0
Linear-A,Etruscan,8,1,43.0
Strelets,Celtic,8,1,45.0
Strelets,Gaul,8,1,43.0
HaT,South African,7,7,39.857142857142854
Strelets,South African,7,7,40.42857142857143
Strelets,Boer,7,6,40.666666666666664
Orion,Turkish,7,5,43.0
Hegemony,British,7,2,24.5
Strelets,Rifian,7,2,37.0
Mars,Finnish,7,1,32.0
Strelets,Brunswick,7,1,45.0
RedBox,Russian,6,20,41.6
HaT,Austrian,6,18,41.72222222222222
Waterloo 1815,Italian,6,16,43.1875
Strelets,Finnish,6,4,41.75
Orion,South Vietnamese,6,3,40.0
Strelets,Syrian,6,3,44.0
Linear-A,Spanish,6,2,45.0
Linear-A,Tunisian,6,2,44.0
Linear-A,Algerian,6,1,41.0
Strelets,Iraqi,6,1,45.0
Strelets,Italian,5,40,41.15
HaT,Italian,5,27,40.0
RedBox,French,5,16,41.125
Strelets,Arab,5,8,42.5
Strelets,Scottish,5,7,39.0
Orion,Vietnamese,5,6,38.166666666666664
Strelets,Australian,5,6,41.833333333333336
RedBox,Scottish,5,5,41.4
Strelets,Moroccan,5,4,36.0
Linear-A,German,5,3,40.0
Linear-A,Celtic,5,2,44.5
Linear-A,Minoan,5,1,41.0
T-Model,Afghan,5,1,38.0
T-Model,Iraqi,5,1,38.0
T-Model,Pakistani,5,1,38.0
T-Model,Syrian,5,1,38.0
Plastic Soldier,German,4,11,43.45454545454545
Caesar,Chinese,4,5,46.8
Plastic Soldier,British,4,5,44.6
Plastic Soldier,USA,4,4,40.0
Linear-A,Persian,4,3,41.666666666666664
Ultima Ratio,USA,4,2,40.0
Hegemony,Indian,4,1,15.0
Hegemony,Persian,4,1,15.0
Hegemony,Phrygian,4,1,25.0
Hegemony,Turkish,4,1,25.0
Mars,Australian,4,1,42.0
Mars,Canadian,4,1,42.0
Ultima Ratio,Confederate,4,1,40.0
Strelets,Russian,3,57,42.54385964912281
RedBox,Italian,3,13,39.23076923076923
Mars,Russian,3,11,35.0
Orion,German,3,8,43.375
RedBox,Ukrainian,3,8,44.75
Orion,Polish,3,6,43.5
Orion,British,3,5,42.0
Orion,Italian,3,5,42.4
Mars,Tatar,3,4,32.75
RedBox,Cossack,3,4,46.25
Linear-A,British,3,3,37.666666666666664
Linear-A,Carthaginian,3,3,45.333333333333336
Orion,French,3,2,43.0
Ultima Ratio,Libyan,3,1,40.0
Ultima Ratio,Tunisian,3,1,42.0
RedBox,Turkish,2,19,39.21052631578947
RedBox,Greek,2,8,39.875
Strelets,Bavarian,2,7,45.42857142857143
Mars,British,2,6,36.5
Mars,Ukrainian,2,5,38.4
Ultima Ratio,Carthaginian,2,3,40.0
HaT,Hungarian,2,2,43.5
Linear-A,Iraqi,2,2,43.5
Ultima Ratio,CeltIberian,2,2,36.5
Ultima Ratio,Spanish,2,2,36.5
Linear-A,Harappan,2,1,44.0
Linear-A,Indian,2,1,44.0
Linear-A,Pakistani,2,1,44.0
Orion,Hungarian,2,1,49.0
